,id_global,ba_ID,ba_away score,ba_home score,ba_league,ba_odds_away_bet365,ba_odds_away_cloudbet,ba_odds_home_bet365,ba_odds_home_cloudbet,ba_player_0,ba_player_1,ba_time,ba_win,cb_away.abbreviation,cb_away.key,cb_away.name,cb_away.nationality,cb_away.researchId,cb_cutoffTime,cb_home.abbreviation,cb_home.key,cb_home.name,cb_home.nationality,cb_home.researchId,cb_id,cb_id_global,cb_key,cb_maxStake_away,cb_maxStake_home,cb_metadata.opinion,cb_metadata.opinions.period=game1.outcomes,cb_metadata.opinions.period=game2.outcomes,cb_metadata.opinions.period=game3.outcomes,cb_metadata.opinions.period=game4.outcomes,cb_metadata.opinions.period=game5.outcomes,cb_metadata.opinions.period=set1.outcomes,cb_metadata.opinions.period=set2.outcomes,cb_metadata.opinions.period=set3.outcomes,cb_metadata.opinions.period=set4.outcomes,cb_metadata.opinions.period=set5.outcomes,cb_minStake_away,cb_minStake_home,cb_name,cb_price_away,cb_price_home,cb_probability_away,cb_probability_home,cb_sequence,cb_slug,cb_status,cb_tournament,cb_type,sc_awayScore.current,sc_awayScore.period1,sc_awayScore.period2,sc_awayScore.period3,sc_awayScore.period4,sc_awayScore.period5,sc_awayTeam.id,sc_awayTeam.name,sc_awayTeam.nameCode,sc_awayTeam.slug,sc_customId,sc_homeScore.current,sc_homeScore.period1,sc_homeScore.period2,sc_homeScore.period3,sc_homeScore.period4,sc_homeScore.period5,sc_homeTeam.id,sc_homeTeam.name,sc_homeTeam.nameCode,sc_homeTeam.slug,sc_id,sc_slug,sc_slug2,sc_startTimestamp,sc_status.description,sc_status.type,sc_tournament.slug,sc_winnerCode,tg_pks_EV,tg_pks_Moneyline,tg_pks_Player1,tg_pks_Player2,tg_pks_Series,tg_pks_Start Time,tg_pks_Wager,tg_pks_Winner,tg_pks_odds,tg_pks_p,tg_pks_p(EV>0),tg_prob_player1,tg_prob_player1_odds,tg_prob_player1_prob,tg_prob_player2,tg_prob_player2_odds,tg_prob_player2_prob,tg_prob_start_time,cb_to_predict,winner,Unnamed: 0,time,player_0,player_1,price_home,price_away,stake_home,stake_away,prob_home,prob_away
0,2024-10-20_12:00:00-grohsgott-vitrovyj,,,,,,,,,,,,,VIT,c1d1c65-oleg-vitrovyj,Oleg Vitrovyj,CZE,,2024-10-20 12:00:00,GRO,c1d07d9-jiri-grohsgott,Jiri Grohsgott,CZE,,25876597.0,2024-10-20_12:00:00-grohsgott-vitrovyj,c1d07d9-jiri-grohsgott-v-c1d1c65-oleg-vitrovyj,14.6608,411.6,[],,,,,,,,,,,0.1,0.1,Jiri Grohsgott v Oleg Vitrovyj,4.93,1.14,0.188,0.812,5.0,grohsgott-vitrovyj,TRADING,Czech Liga Pro,EVENT_TYPE_EVENT,3.0,11.0,8.0,9.0,11.0,11.0,525387.0,Vitrovyj O.,VIT,vitrovyj-oleg,RfjesMhke,2.0,8.0,11.0,11.0,7.0,6.0,522792.0,Grohsgott J.,GRO,grohsgott-jiri,13008080.0,vitrovyj-grohsgott,grohsgott-vitrovyj,2024-10-20 12:00:00,Ended,finished,czech-liga-pro,2.0,,,,,,,,,,,,,,,,,,,,1.0,110518,2024-10-20 12:00:00,grohsgott-jiri,vitrovyj-oleg,1.14,4.93,0,50,60.167007745732384,39.832992254267616
1,2024-10-28_07:00:00-syroha-strnad,,,,,,,,,,,,,STR,cfb78d-jaroslav-strnad,Jaroslav (1964) Strnad,CZE,,2024-10-28 07:00:00,SYR,c12935a-michal-syroha,Michal Syroha,CZE,,25997691.0,,c12935a-michal-syroha-v-cfb78d-jaroslav-strnad,303.28256,18.17704,[],,,,,,,,,,,0.1,0.1,Michal Syroha v Jaroslav (1964) Strnad,1.19,4.17,0.778,0.222,4.0,syroha-(1964),TRADING,Czech Liga Pro,EVENT_TYPE_EVENT,3.0,11.0,12.0,11.0,11.0,11.0,412635.0,Strnad J.,STR,strnad-jaroslav-1964,KcpdstDDd,2.0,7.0,14.0,6.0,13.0,7.0,446418.0,Syroha M.,SYR,syroha-michal,13040678.0,syroha-strnad,syroha-strnad,2024-10-28 07:00:00,Ended,finished,czech-liga-pro,2.0,,,,,,,,,,,,,,,,,,,,1.0,111865,2024-10-28 07:00:00,syroha-michal,strnad-jaroslav,4.17,1.19,50,0,46.83464528029022,53.16535471970978
2,2024-10-28_09:30:00-strnad-hejduk,,,,,,,,,,,,,HEJ,c122846-alexander-hejduk,Alexander Hejduk,CZE,,2024-10-28 09:30:00,STR,cfb78d-jaroslav-strnad,Jaroslav (1964) Strnad,CZE,,25997705.0,,cfb78d-jaroslav-strnad-v-c122846-alexander-hejduk,25.05272,198.70284,[],,,,,,,,,,,0.1,0.1,Jaroslav (1964) Strnad v Alexander Hejduk,3.3,1.29,0.281,0.719,9.0,(1964)-hejduk,TRADING,Czech Liga Pro,EVENT_TYPE_EVENT,3.0,11.0,11.0,11.0,,,423791.0,Hejduk A.,HEJ,hejduk-alexander,KcpdsQAud,0.0,7.0,9.0,8.0,,,412635.0,Strnad J.,STR,strnad-jaroslav-1964,13040704.0,hejduk-strnad,strnad-hejduk,2024-10-28 09:30:00,Ended,finished,czech-liga-pro,2.0,,,,,,,,,,,,,,,,,,,,1.0,111886,2024-10-28 09:30:00,strnad-jaroslav,hejduk-alexander,1.29,3.3,0,50,37.80116661999296,62.19883338000704
