,id_global,ba_ID,ba_away score,ba_home score,ba_league,ba_odds_away_bet365,ba_odds_away_cloudbet,ba_odds_home_bet365,ba_odds_home_cloudbet,ba_player_0,ba_player_1,ba_time,ba_win,cb_away.abbreviation,cb_away.key,cb_away.name,cb_away.nationality,cb_away.researchId,cb_cutoffTime,cb_home.abbreviation,cb_home.key,cb_home.name,cb_home.nationality,cb_home.researchId,cb_id,cb_id_global,cb_key,cb_maxStake_away,cb_maxStake_home,cb_metadata.opinion,cb_metadata.opinions.period=game1.outcomes,cb_metadata.opinions.period=game2.outcomes,cb_metadata.opinions.period=game3.outcomes,cb_metadata.opinions.period=game4.outcomes,cb_metadata.opinions.period=game5.outcomes,cb_metadata.opinions.period=set1.outcomes,cb_metadata.opinions.period=set2.outcomes,cb_metadata.opinions.period=set3.outcomes,cb_metadata.opinions.period=set4.outcomes,cb_metadata.opinions.period=set5.outcomes,cb_minStake_away,cb_minStake_home,cb_name,cb_price_away,cb_price_home,cb_probability_away,cb_probability_home,cb_sequence,cb_slug,cb_status,cb_tournament,cb_type,sc_awayScore.current,sc_awayScore.period1,sc_awayScore.period2,sc_awayScore.period3,sc_awayScore.period4,sc_awayScore.period5,sc_awayTeam.id,sc_awayTeam.name,sc_awayTeam.nameCode,sc_awayTeam.slug,sc_customId,sc_homeScore.current,sc_homeScore.period1,sc_homeScore.period2,sc_homeScore.period3,sc_homeScore.period4,sc_homeScore.period5,sc_homeTeam.id,sc_homeTeam.name,sc_homeTeam.nameCode,sc_homeTeam.slug,sc_id,sc_slug,sc_slug2,sc_startTimestamp,sc_status.description,sc_status.type,sc_tournament.slug,sc_winnerCode,tg_pks_EV,tg_pks_Moneyline,tg_pks_Player1,tg_pks_Player2,tg_pks_Series,tg_pks_Start Time,tg_pks_Wager,tg_pks_Winner,tg_pks_odds,tg_pks_p,tg_pks_p(EV>0),tg_prob_player1,tg_prob_player1_odds,tg_prob_player1_prob,tg_prob_player2,tg_prob_player2_odds,tg_prob_player2_prob,tg_prob_start_time,cb_to_predict,winner,Unnamed: 0,time,player_0,player_1,price_home,price_away,stake_home,stake_away,prob_home,prob_away
0,2024-10-22_02:00:00-sulava-regner,,,,,,,,,,,,,REG,c1a961f-tomas-regner,Tomas Regner,CZE,,2024-10-22 02:00:00,SUL,cfbb53-lubor-sulava,Lubor Sulava,CZE,,25892005.0,2024-10-22_02:00:00-sulava-regner,cfbb53-lubor-sulava-v-c1a961f-tomas-regner,14.6608,411.6,[],,,,,,,,,,,0.1,0.1,Lubor Sulava v Tomas Regner,4.93,1.14,0.188,0.812,10.0,sulava-regner,TRADING,Czech Liga Pro,EVENT_TYPE_EVENT,1.0,12.0,8.0,9.0,5.0,,481160.0,Regner T.,REG,regner-tomas,uaodskyRd,3.0,10.0,11.0,11.0,11.0,,410019.0,Sulava L.,SUL,sulava-lubor,13014565.0,regner-sulava,sulava-regner,2024-10-22 02:00:00,Ended,finished,czech-liga-pro,1.0,,,,,,,,,,,,,,,,,,,,0.0,110982,2024-10-22 02:00:00,sulava-lubor,regner-tomas,1.14,4.93,0.0,17.831326892751033,67.69960303649106,32.300396963508945
1,2024-10-22_07:00:00-vanek-ruzicka,,,,,,,,,,,,,RUZ,c1aba20-jan-ruzicka,Jan Ruzicka,CZE,,2024-10-22 07:00:00,VAN,c1ac25b-josef-vanek,Josef Vanek,CZE,,25907050.0,2024-10-22_07:00:00-vanek-ruzicka,c1ac25b-josef-vanek-v-c1aba20-jan-ruzicka,42.36932,108.72316,[],,,,,,,,,,,0.1,0.1,Josef Vanek v Jan Ruzicka,2.36,1.53,0.393,0.607,7.0,vanek-ruzicka,TRADING,Czech Liga Pro,EVENT_TYPE_EVENT,0.0,8.0,7.0,4.0,,,483152.0,Ruzicka J.,RUZ,ruzicka-jan,cnTdsRtTd,3.0,11.0,11.0,11.0,,,483442.0,Vanek J.,VAN,vanek-josef,13014580.0,vanek-ruzicka,vanek-ruzicka,2024-10-22 07:00:00,Ended,finished,czech-liga-pro,1.0,,,,,,,,,,,,,,,,,,,,0.0,110993,2024-10-22 07:00:00,vanek-josef,ruzicka-jan,1.53,2.36,0.0,5.308023834818502,47.28728851391478,52.71271148608522
2,2024-10-22_12:00:00-pozarsky-pagac,,,,,,,,,,,,,PAG,c1a92ce-zbynek-pagac,Zbynek Pagac,CZE,,2024-10-22 12:00:00,POZ,cfb235-jiri-pozarsky,Jiri Pozarsky,CZE,,25919999.0,2024-10-22_12:00:00-pozarsky-pagac,cfb235-jiri-pozarsky-v-c1a92ce-zbynek-pagac,711.40552,80.36784,[],,,,,,,,,,,0.1,0.1,Jiri Pozarsky v Zbynek Pagac,1.27,3.39,0.727,0.273,11.0,pozarsky-pagac,TRADING,Czech Liga Pro,EVENT_TYPE_EVENT,3.0,11.0,11.0,11.0,,,480734.0,Pagac Z.,PAG,pagac-zbynek,VWndsJoRd,0.0,8.0,8.0,8.0,,,409845.0,Pozarsky J.,POZ,pozarsky-jiri,13015855.0,pagac-pozarsky,pozarsky-pagac,2024-10-22 12:00:00,Ended,finished,czech-liga-pro,2.0,,,,,,,,,,,,,,,,,,,,1.0,111057,2024-10-22 12:00:00,pozarsky-jiri,pagac-zbynek,3.39,1.27,17.816401935033618,0.0,42.09989006959586,57.90010993040414
3,2024-10-22_12:30:00-sucharda-zuzanek,,,,,,,,,,,,,ZUZ,c15a358-jiri-zuzanek,Jiri Zuzanek,CZE,,2024-10-22 12:30:00,SUC,cfbebc-jan-sucharda,Jan Sucharda,CZE,,25906991.0,2024-10-22_12:30:00-sucharda-zuzanek,cfbebc-jan-sucharda-v-c15a358-jiri-zuzanek,48.8334,94.46416,[],,,,,,,,,,,0.1,0.1,Jan Sucharda v Jiri Zuzanek,2.18,1.61,0.425,0.575,6.0,sucharda-zuzanek,TRADING,Czech Liga Pro,EVENT_TYPE_EVENT,3.0,11.0,11.0,11.0,,,458743.0,Zuzanek J.,ZUZ,zuzanek-jiri,NcodsTzId,0.0,6.0,3.0,6.0,,,410138.0,Sucharda J.,SUC,sucharda-jan,13014616.0,zuzanek-sucharda,sucharda-zuzanek,2024-10-22 12:30:00,Ended,finished,czech-liga-pro,2.0,,,,,,,,,,,,,,,,,,,,1.0,110782,2024-10-22 12:30:00,sucharda-jan,zuzanek-jiri,1.61,2.18,0.0,7.870302431248214,42.7096753511508,57.2903246488492
4,2024-10-22_18:30:00-boruvka-zajicek,,,,,,,,,,,,,ZAJ,cfb795-jan-zajicek,Jan Zajicek,CZE,,2024-10-22 18:30:00,BOR,cfb792-jakub-boruvka,Jakub Boruvka,CZE,,25907004.0,2024-10-22_18:30:00-boruvka-zajicek,cfb792-jakub-boruvka-v-cfb795-jan-zajicek,21.74424,240.1,[],,,,,,,,,,,0.1,0.1,Jakub Boruvka v Jan Zajicek,3.65,1.24,0.254,0.746,10.0,boruvka-zajicek,TRADING,Czech Liga Pro,EVENT_TYPE_EVENT,1.0,11.0,7.0,3.0,8.0,,409925.0,Zajicek J.,ZAJ,zajicek-jan,AYndsEYnd,3.0,6.0,11.0,11.0,11.0,,409929.0,Boruvka J.,BOR,boruvka-jakub,13014648.0,boruvka-zajicek,boruvka-zajicek,2024-10-22 18:30:00,Ended,finished,czech-liga-pro,1.0,,,,,,,,,,,,,,,,,,,,0.0,110797,2024-10-22 18:30:00,boruvka-jakub,zajicek-jan,1.24,3.65,0.0,5.195004589971781,63.50052301621023,36.49947698378977
5,2024-10-22_22:00:00-kubat-strnad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,11.0,11.0,11.0,,,409911.0,Strnad J.,STR,strnad-jaroslav,lYndsWjod,0.0,9.0,6.0,5.0,,,410496.0,Kubat V.,KUB,kubat-vladimir,13017476.0,kubat-strnad,kubat-strnad,2024-10-22 22:00:00,Ended,finished,czech-liga-pro,2.0,,,,,,,,,,,,,,,,,,,,1.0,111127,2024-10-22 22:00:00,kubat-vladimir,strnad-jaroslav,1.66,2.09,0.0,13.792211687772792,39.225209027003295,60.77479097299671
6,2024-10-23_06:30:00-sulava-hruska,,,,,,,,,,,,,HRU,ccd34d-vaclav-hruska,Vaclav Hruska,CZE,,2024-10-23 06:30:00,SUL,cfbb53-lubor-sulava,Lubor Sulava,CZE,,25921196.0,2024-10-23_06:30:00-sulava-hruska,cfbb53-lubor-sulava-v-ccd34d-vaclav-hruska,63.32172,72.03,[],,,,,,,,,,,0.1,0.1,Lubor Sulava v Vaclav Hruska,1.91,1.8,0.485,0.515,6.0,sulava-hruska,TRADING,Czech Liga Pro,EVENT_TYPE_EVENT,3.0,11.0,6.0,11.0,8.0,13.0,398486.0,Hruska V.,HRU,hruska-vaclav,Lujdsuaod,2.0,3.0,11.0,3.0,11.0,11.0,410019.0,Sulava L.,SUL,sulava-lubor,13018157.0,sulava-hruska,sulava-hruska,2024-10-23 06:30:00,Ended,finished,czech-liga-pro,2.0,,,,,,,,,,,,,,,,,,,,1.0,111139,2024-10-23 06:30:00,sulava-lubor,hruska-vaclav,1.8,1.91,0.0,7.703677503829529,35.82594837810164,64.17405162189836
7,2024-10-23_08:30:00-sudek-barta,,,,,,,,,,,,,BAR,c1abaec-tomas-barta,Tomas Barta,CZE,,2024-10-23 08:30:00,SUD,cfcf4f-petr-sudek,Petr Sudek,CZE,,25921087.0,2024-10-23_08:30:00-sudek-barta,cfcf4f-petr-sudek-v-c1abaec-tomas-barta,25.05272,198.70284,[],,,,,,,,,,,0.1,0.1,Petr Sudek v Tomas Barta,3.3,1.29,0.281,0.719,8.0,sudek-barta,TRADING,Czech Liga Pro,EVENT_TYPE_EVENT,1.0,10.0,10.0,11.0,2.0,,483153.0,Barta T.,BAR,barta-tomas,NiodsdnTd,3.0,12.0,12.0,5.0,11.0,,410438.0,Sudek P.,SUD,sudek-petr,13018179.0,barta-sudek,sudek-barta,2024-10-23 08:30:00,Ended,finished,czech-liga-pro,1.0,,,,,,,,,,,,,,,,,,,,0.0,111151,2024-10-23 08:30:00,sudek-petr,barta-tomas,1.29,3.3,0.0,8.31271242045155,59.28359534075862,40.71640465924138
8,2024-10-23_11:00:00-lovl-ruzicka,,,,,,,,,,,,,RUZ,c1aba20-jan-ruzicka,Jan Ruzicka,CZE,,2024-10-23 11:00:00,LOV,c1a961d-jan-lovl,Jan Lovl,CZE,,25921183.0,2024-10-23_11:00:00-lovl-ruzicka,c1a961d-jan-lovl-v-c1aba20-jan-ruzicka,29.70184,164.64,[],,,,,,,,,,,0.1,0.1,Jan Lovl v Jan Ruzicka,2.94,1.35,0.315,0.685,6.0,lovl-ruzicka,TRADING,Czech Liga Pro,EVENT_TYPE_EVENT,3.0,11.0,11.0,11.0,,,483152.0,Ruzicka J.,RUZ,ruzicka-jan,hyRdscnTd,0.0,6.0,7.0,5.0,,,481157.0,Lovl J.,LOV,lovl-jan,13018195.0,ruzicka-lovl,lovl-ruzicka,2024-10-23 11:00:00,Ended,finished,czech-liga-pro,2.0,,,,,,,,,,,,,,,,,,,,1.0,111155,2024-10-23 11:00:00,lovl-jan,ruzicka-jan,1.35,2.94,0.0,19.16096268105557,52.860636952393605,47.1393630476064
9,2024-10-23_15:30:00-briza-janata,,,,,,,,,,,,,JAN,c1ad409-tomas-janata,Tomas Janata,CZE,,2024-10-23 15:30:00,BRI,c16326e-frantisek-briza,Frantisek Briza,CZE,,25921135.0,2024-10-23_15:30:00-briza-janata,c16326e-frantisek-briza-v-c1ad409-tomas-janata,46.0992,101.09288,[],,,,,,,,,,,0.1,0.1,Frantisek Briza v Tomas Janata,2.25,1.57,0.411,0.589,6.0,briza-janata,TRADING,Czech Liga Pro,EVENT_TYPE_EVENT,0.0,9.0,7.0,8.0,,,484525.0,Janata T.,JAN,janata-tomas,hVIdsAPTd,3.0,11.0,11.0,11.0,,,459757.0,Briza F.,BRI,briza-frantisek,13018220.0,janata-briza,briza-janata,2024-10-23 15:30:00,Ended,finished,czech-liga-pro,1.0,,,,,,,,,,,,,,,,,,,,0.0,111175,2024-10-23 15:30:00,briza-frantisek,janata-tomas,1.57,2.25,0.0,9.720903487560468,43.74427129765747,56.25572870234253
