,id_global,ba_ID,ba_away score,ba_home score,ba_league,ba_odds_away_bet365,ba_odds_away_cloudbet,ba_odds_home_bet365,ba_odds_home_cloudbet,ba_player_0,ba_player_1,ba_time,ba_win,cb_away.abbreviation,cb_away.key,cb_away.name,cb_away.nationality,cb_away.researchId,cb_cutoffTime,cb_home.abbreviation,cb_home.key,cb_home.name,cb_home.nationality,cb_home.researchId,cb_id,cb_id_global,cb_key,cb_maxStake_away,cb_maxStake_home,cb_metadata.opinion,cb_metadata.opinions.period=game1.outcomes,cb_metadata.opinions.period=game2.outcomes,cb_metadata.opinions.period=game3.outcomes,cb_metadata.opinions.period=game4.outcomes,cb_metadata.opinions.period=game5.outcomes,cb_metadata.opinions.period=set1.outcomes,cb_metadata.opinions.period=set2.outcomes,cb_metadata.opinions.period=set3.outcomes,cb_metadata.opinions.period=set4.outcomes,cb_metadata.opinions.period=set5.outcomes,cb_minStake_away,cb_minStake_home,cb_name,cb_price_away,cb_price_home,cb_probability_away,cb_probability_home,cb_sequence,cb_slug,cb_status,cb_tournament,cb_type,sc_awayScore.current,sc_awayScore.period1,sc_awayScore.period2,sc_awayScore.period3,sc_awayScore.period4,sc_awayScore.period5,sc_awayTeam.id,sc_awayTeam.name,sc_awayTeam.nameCode,sc_awayTeam.slug,sc_customId,sc_homeScore.current,sc_homeScore.period1,sc_homeScore.period2,sc_homeScore.period3,sc_homeScore.period4,sc_homeScore.period5,sc_homeTeam.id,sc_homeTeam.name,sc_homeTeam.nameCode,sc_homeTeam.slug,sc_id,sc_slug,sc_slug2,sc_startTimestamp,sc_status.description,sc_status.type,sc_tournament.slug,sc_winnerCode,tg_pks_EV,tg_pks_Moneyline,tg_pks_Player1,tg_pks_Player2,tg_pks_Series,tg_pks_Start Time,tg_pks_Wager,tg_pks_Winner,tg_pks_odds,tg_pks_p,tg_pks_p(EV>0),tg_prob_player1,tg_prob_player1_odds,tg_prob_player1_prob,tg_prob_player2,tg_prob_player2_odds,tg_prob_player2_prob,tg_prob_start_time,cb_to_predict,winner,Unnamed: 0,time,player_0,player_1,price_home,price_away,stake_home,stake_away,prob_home,prob_away
0,2024-10-20_21:10:00-kolodziej-czerwinski,,,,,,,,,,,,,CZE,cfdace-bartosz-czerwinski,Bartosz Czerwinski,,,2024-10-20 21:10:00,KOL,c16586d-krystian-kolodziej,Krystian Kolodziej,,,25879192.0,2024-10-20_21:10:00-kolodziej-czerwinski,c16586d-krystian-kolodziej-v-cfdace-bartosz-czerwinski,48.3826,1372.0,[],,,,,,,,,,,0.1,0.1,Krystian Kolodziej v Bartosz Czerwinski,4.97,1.14,0.187,0.813,6.0,kolodziej-czerwinski,TRADING,TT Elite Series,EVENT_TYPE_EVENT,0.0,9.0,6.0,3.0,,,410535.0,Czerwinski B.,CZE,czerwinski-bartosz,KkodsrXId,3.0,11.0,11.0,11.0,,,459867.0,Kolodziej K.,KOL,kolodziej-krystian,13008353.0,kolodziej-czerwinski,kolodziej-czerwinski,2024-10-20 21:10:00,Ended,finished,tt-elite-series,1.0,,,,,,,,,,,,,,,,,,,,0.0,121016,2024-10-20 21:10:00,kolodziej-krystian,czerwinski-bartosz,1.14,4.97,0,50,65.04335373062746,34.95664626937254
1,2024-10-23_18:25:00-trela-gala,,,,,,,,,,,,,GAL,c1ba3f3-dawid-gala,Dawid Gala,,,2024-10-23 18:25:00,TRE,c1c7b02-mateusz-trela,Mateusz Trela,,,25922405.0,2024-10-23_18:25:00-trela-gala,c1c7b02-mateusz-trela-v-c1ba3f3-dawid-gala,47.66132,1477.53816,[],,,,,,,,,,,0.1,0.1,Mateusz Trela v Dawid Gala,5.03,1.13,0.183,0.817,8.0,trela-gala,TRADING,TT Elite Series,EVENT_TYPE_EVENT,1.0,8.0,11.0,9.0,9.0,,494024.0,Gala D.,GAL,gala-dawid,zFXdsxkde,3.0,11.0,3.0,11.0,11.0,,508022.0,Trela M.,TRE,trela-mateusz,13018525.0,trela-gala,trela-gala,2024-10-23 18:25:00,Ended,finished,tt-elite-series,1.0,,,,,,,,,,,,,,,,,,,,0.0,121748,2024-10-23 18:25:00,trela-mateusz,gala-dawid,1.13,5.03,0,50,65.24703597348616,34.752964026513844
2,2024-10-23_20:00:00-trela-kowalczyk,,,,,,,,,,,,,KOW,c118926-marcin-kowalczyk,Marcin Kowalczyk,,,2024-10-23 20:00:00,TRE,c1c7b02-mateusz-trela,Mateusz Trela,,,25922417.0,2024-10-23_20:00:00-trela-kowalczyk,c1c7b02-mateusz-trela-v-c118926-marcin-kowalczyk,34.055,2401.0,[],,,,,,,,,,,0.1,0.1,Mateusz Trela v Marcin Kowalczyk,6.64,1.08,0.14,0.86,5.0,trela-kowalczyk,TRADING,TT Elite Series,EVENT_TYPE_EVENT,0.0,5.0,1.0,8.0,,,419378.0,Kowalczyk M.,KOW,kowalczyk-marcin,DMrdsxkde,3.0,11.0,11.0,11.0,,,508022.0,Trela M.,TRE,trela-mateusz,13018541.0,trela-kowalczyk,trela-kowalczyk,2024-10-23 20:00:00,Ended,finished,tt-elite-series,1.0,,,,,,,,,,,,,,,,,,,,0.0,121755,2024-10-23 20:00:00,trela-mateusz,kowalczyk-marcin,1.08,6.64,0,50,72.34046964168019,27.65953035831981
3,2024-10-23_20:05:00-kotwica-skorski,,,,,,,,,,,,,SKO,c100c1b-michal-skorski,Michal Skorski,,,2024-10-23 20:05:00,KOT,c10baed-dawid-kotwica,Dawid Kotwica,,,25922439.0,2024-10-23_20:05:00-kotwica-skorski,c10baed-dawid-kotwica-v-c100c1b-michal-skorski,640.26536,82.79236,[],,,,,,,,,,,0.1,0.1,Dawid Kotwica v Michal Skorski,1.3,3.32,0.719,0.281,5.0,kotwica-skorski,TRADING,TT Elite Series,EVENT_TYPE_EVENT,1.0,11.0,8.0,11.0,9.0,,411478.0,Skorski M.,SKO,skorski-michal,DEodsLIpd,3.0,13.0,11.0,5.0,11.0,,414186.0,Kotwica D.,KOT,kotwica-dawid,13018542.0,kotwica-skorski,kotwica-skorski,2024-10-23 20:05:00,Ended,finished,tt-elite-series,1.0,,,,,,,,,,,,,,,,,,,,0.0,121790,2024-10-23 20:05:00,kotwica-dawid,skorski-michal,3.32,1.3,50,0,50.47719318405197,49.52280681594804
4,2024-10-23_23:05:00-brunner-lewczuk,,,,,,,,,,,,,LEW,cfde2a-miroslaw-lewczuk,Miroslaw Lewczuk,,,2024-10-23 23:05:00,BRU,c16199d-marian-brunner,Marian Brunner,,,25922537.0,2024-10-23_23:05:00-brunner-lewczuk,c16199d-marian-brunner-v-cfde2a-miroslaw-lewczuk,480.2,105.53816,[],,,,,,,,,,,0.1,0.1,Marian Brunner v Miroslaw Lewczuk,1.4,2.82,0.668,0.332,5.0,brunner-lewczuk,TRADING,TT Elite Series,EVENT_TYPE_EVENT,3.0,11.0,11.0,11.0,,,410600.0,Lewczuk M.,LEW,lewczuk-miroslaw,amodskTId,0.0,2.0,7.0,7.0,,,459660.0,Brunner M.,BRU,brunner-marian,13018571.0,brunner-lewczuk,brunner-lewczuk,2024-10-23 23:05:00,Ended,finished,tt-elite-series,2.0,,,,,,,,,,,,,,,,,,,,1.0,121820,2024-10-23 23:05:00,brunner-marian,lewczuk-miroslaw,2.82,1.4,50,0,54.30480735760319,45.69519264239681
